net,length_um
sio_d_io,2205.8
net24,1795.76
net14,1566.12
net1,1224.56
net2,887.04
net3,873.915
net6,838.36
_0273_,662.65
net38,643.92
_0526_,556.76
_0552_,550.55
_0571_,539.68
_0479_,532.44
_0324_,517.4
_0515_,510.52
_0492_,507.98
_0548_,505.02
_0470_,488.52
_0586_,482.02
_0512_,468.61
_0568_,465.92
_0495_,456.17
_0509_,447.24
_0224_,446.58
_0669_,444.995
_0565_,443.04
_0531_,441.61
_0589_,432.06
_0577_,427.44
_0514_,425.52
_0467_,415.56
_0582_,406.08
_0255_,405.18
_0563_,402.96
_0507_,400.74
_0481_,398.06
_0518_,386.58
_0487_,383.7
_0240_,380.14
_0001_,378.345
_0260_,377.84
_0653_,377.7
_0542_,373.74
_0625_,368.14
_0489_,367.97
_0485_,360.91
_0522_,355.16
_0239_,347.015
_0524_,346.63
_0499_,344.5
_0478_,340.74
_0434_,337.105
_0567_,334.01
_0564_,331.11
_0473_,330.355
_0628_,326.24
_0780_,324.06
_0497_,323.71
_0521_,322.91
net27,320.53
_0439_,319.645
_0472_,314.78
_0272_,311.79
net34,305
_0733_,292.135
_0638_,292.06
_0546_,291.84
_0381_,283.86
_0476_,281.93
_0675_,278.67
_0646_,271.58
_0663_,262.06
_0560_,260.39
_0661_,258.66
net31,256.48
_0630_,251.28
_0606_,249.7
_0642_,249.56
_0498_,246.38
_0469_,245.43
_0508_,242.48
_0584_,240.6
_0527_,239.42
_0261_,237.035
_0641_,236.58
net32,234.745
_0540_,231.94
_0774_,229.56
_0620_,226.625
net30,224.46
_0445_,224.38
_0541_,218.36
_0248_,217.6
_0604_,216.48
net29,216.38
_0287_,215.34
_0259_,215.14
_0195_,213.5
_0611_,212.62
_0277_,212
net26,211.66
_0435_,211.4
_0573_,211.28
_0558_,205.59
_0878_,204.96
_0639_,202.3
_0643_,201.96
_0583_,201.68
_0572_,201.12
net35,201.12
net37,199.96
_0443_,198.6
_0574_,196.665
_0268_,195.56
net28,193.76
_0547_,193.66
_0327_,191.665
net33,189.14
_0712_,187.1
_0169_,183.17
_0608_,181.72
_0438_,181.66
_0707_,179.5
_0529_,179
_0502_,178.5
_0463_,178.32
_0175_,175.08
_0576_,172.14
net25,171.32
_0782_,171.13
_0477_,165.62
_0409_,164.38
_0449_,164.3
_0516_,164.24
_0673_,164.02
_0857_,163.58
_0503_,163.075
_0447_,162.59
_0629_,161.29
_0727_,160.46
_0619_,160.1
_0623_,159.26
_0865_,157.76
cam_mod_01.camera_init_01.sender.sccb_ok,155.68
_0550_,155.42
_0601_,155.22
_0685_,153.8
_0504_,153.18
_0770_,152.35
net16,150.42
_0844_,150.39
_0538_,149.92
_0269_,149.865
_0271_,149.08
_0616_,148.22
_0600_,147.03
_0530_,146.28
_0651_,145.58
_0803_,144.86
_0553_,144.22
_0592_,143.1
net19,143.03
_0698_,142.94
_0212_,142.42
net10,139.325
_0862_,138.98
_0448_,137.92
_0513_,137.68
net15,136.56
_0580_,135.58
_0800_,135.4
_0792_,135.14
_0226_,134.505
_0750_,134.22
_0786_,133.96
_0119_,132.82
_0465_,132.695
_0484_,132.6
_0834_,132.5
_0657_,131.78
_0536_,131.08
net21,130.66
cam_mod_01.camera_init_01.sender.data_temp\[3\],130.5
_0840_,130.48
_0891_,129.96
_0737_,129.94
_0793_,129.88
_0219_,128.005
net8,127.84
_0731_,127.36
_0140_,127.33
_0180_,127.12
net22,126.485
_0510_,126.46
_0665_,126.34
_0650_,125.84
_0164_,125.57
_0637_,123.66
_0670_,123.56
_0815_,122.32
_0535_,120.32
_0545_,119.65
net17,119.155
_0871_,118.86
net23,117.1
_0111_,116.6
_0129_,115.7
_0505_,115.42
_0235_,115.22
_0773_,115.1
_0756_,115.08
_0466_,114.92
_0105_,114.46
_0829_,113.96
_0754_,112.76
_0549_,112.24
_0881_,111.64
_0561_,110.22
_0168_,110.16
_0234_,109.7
_0668_,109.24
_0679_,109.02
_0238_,108.96
_0769_,108.24
_0729_,107.82
_0843_,106.82
_0680_,106.36
_0753_,105.64
net18,105.12
_0002_,105.065
_0106_,104.08
_0722_,103.7
_0523_,102.7
_0191_,102.58
_0543_,102.48
cam_mod_01.camera_init_01.init.count\[0\],102.48
_0798_,100.92
_0199_,100.46
_0229_,100.26
_0855_,100.12
_0595_,99.915
_0689_,98.98
net36,98.86
_0143_,98.42
_0223_,97.66
_0812_,97.52
_0820_,96.52
_0655_,96.34
_0146_,96.18
_0824_,96.1
_0493_,95.27
_0110_,95.08
_0602_,94.8
_0609_,94.26
_0171_,94.12
cam_mod_01.camera_init_01.sender.count\[15\],93.98
_0464_,93.3
_0804_,93.11
_0217_,90.74
_0556_,90.62
_0241_,90.58
_0807_,90.44
_0706_,90.38
cam_mod_01.camera_init_01.sender.count\[10\],89.64
_0225_,89.5
_0127_,89.2
_0233_,88.82
_0562_,88.54
_0846_,87.38
_0136_,87.04
_0579_,86.76
_0179_,86.7
_0796_,86.46
_0647_,86.4
_0745_,86.16
_0751_,86.12
_0150_,85.9
_0216_,85.5
_0230_,85.435
_0124_,85.4
_0115_,85.08
_0649_,84.68
_0833_,84.3
_0621_,84.14
_0490_,83.98
_0816_,83.82
_0822_,83.42
_0205_,82.94
_0534_,82.9
_0222_,82.43
_0831_,82.38
_0386_,81.88
_0228_,81.84
_0874_,80.82
_0221_,80.585
cam_mod_01.camera_init_01.init.count\[6\],80.56
_0133_,79.64
cam_mod_01.camera_init_01.init.count\[4\],79.46
net20,79
_0715_,78.76
_0720_,78.2
_0142_,77.9
_0483_,77.18
cam_mod_01.camera_init_01.init.count\[1\],76.9
_0130_,75.92
_0450_,75.56
cam_mod_01.camera_init_01.sender.count\[9\],75.42
_0683_,75.04
vga_display_01.control.y_poi\[1\],74.98
_0746_,74.72
_0232_,73.435
_0397_,73.295
_0778_,73.04
_0474_,72.975
_0676_,72.66
_0726_,72.6
_0176_,72.56
_0113_,72.5
_0418_,72.46
_0578_,72.36
_0835_,72.18
_0644_,72.1
_0741_,71.8
_0147_,71.72
_0893_,71.48
_0441_,70.46
_0607_,70.4
_0890_,69.78
_0244_,69.76
_0671_,69.3
_0818_,69.24
_0192_,68.42
_0539_,68.02
net11,67.4
cam_mod_01.camera_init_01.data_send\[15\],67.32
_0882_,67.26
_0695_,67.16
_0826_,67.1
vga_display_01.control.y_poi\[3\],67.025
vga_display_01.control.y_poi\[11\],66.48
_0557_,66.43
_0721_,66.32
_0795_,66.24
net55,66.11
_0879_,66
cam_mod_01.camera_init_01.data_send\[8\],65.42
_0736_,65.32
_0588_,65.16
_0823_,64.52
_0615_,64.38
cam_mod_01.camera_init_01.init.count\[7\],64.27
_0597_,64.1
cam_mod_01.camera_init_01.sender.count\[0\],63.77
_0810_,63.7
_0809_,62.7
_0735_,62.6
_0837_,62.005
_0555_,61.62
_0220_,61.14
_0693_,61
_0511_,60.9
_0342_,60.74
_0368_,60.66
_0218_,60.14
_0654_,60.12
_0359_,60.08
cam_mod_01.camera_init_01.sender.count\[14\],59.62
_0482_,58.94
_0488_,58.7
_0876_,58.14
cam_mod_01.camera_init_01.data_send\[1\],57.84
_0662_,57.56
vga_display_01.control.y_poi\[0\],57.34
_0390_,57.23
vga_display_01.control.x_poi\[9\],57.16
cam_mod_01.camera_init_01.sender.count\[13\],57.14
_0378_,57.08
net12,56.5
net53,56.48
vga_display_01.control.x_poi\[10\],56.14
_0331_,56.1
_0598_,55.94
cam_mod_01.camera_init_01.sender.count\[16\],55.7
cam_mod_01.camera_init_01.sender.count\[12\],55.535
_0204_,55.52
_0402_,54.78
_0838_,54.585
cam_mod_01.camera_init_01.data_send\[6\],54.36
_0830_,54.28
_0664_,54.1
_0784_,53.84
_0814_,53.8
_0743_,53.64
cam_mod_01.camera_init_01.sender.count\[11\],53.28
net7,53.245
vga_display_01.control.y_poi\[6\],52.82
cam_mod_01.camera_init_01.init.count\[5\],52.26
_0581_,52.14
net56,52.1
net57,50.86
_0748_,50.72
vga_display_01.control.y_poi\[8\],50.3
_0870_,49.86
_0151_,49.8
_0631_,49.54
_0501_,49.44
_0734_,49.24
_0806_,49.1
_0194_,48.48
_0801_,48.44
cam_mod_01.camera_init_01.data_send\[2\],48.42
_0791_,48.36
_0703_,48.26
_0184_,47.8
_0107_,47.68
cam_mod_01.camera_init_01.data_send\[4\],47.6
vga_display_01.control.y_poi\[2\],47.3
cam_mod_01.camera_init_01.data_send\[3\],47.24
vga_display_01.control.x_poi\[7\],47.18
cam_mod_01.camera_init_01.data_send\[13\],46.92
_0188_,46.58
_0480_,46.44
_0198_,46.4
vga_display_01.control.y_poi\[10\],45.64
_0120_,45.58
_0717_,45.56
_0794_,45.52
_0674_,45.36
_0424_,45.26
vga_display_01.control.x_poi\[11\],45.26
_0112_,45.16
_0705_,44.96
_0690_,44.72
_0594_,44.64
_0366_,44.6
_0350_,44.5
_0880_,44.34
net4,44.24
_0178_,43.86
_0827_,43.84
cam_mod_01.camera_init_01.sender.count\[7\],43.72
cam_mod_01.camera_init_01.sender.count\[17\],43.66
_0852_,43.42
_0162_,43.24
vga_display_01.control.y_poi\[7\],42.9
_0710_,42.6
cam_mod_01.camera_init_01.data_send\[5\],42.5
cam_mod_01.camera_init_01.sender.count\[4\],42.42
_0532_,41.94
_0152_,41.58
_0764_,41.42
vga_display_01.control.y_poi\[9\],41.4
_0214_,41.1
cam_mod_01.camera_init_01.sender.count\[1\],40.78
_0369_,40.36
_0864_,39.84
cam_mod_01.camera_init_01.sender.count\[5\],39.66
cam_mod_01.camera_init_01.data_send\[11\],39.42
_0696_,39.3
_0892_,39.24
cam_mod_01.camera_init_01.sender.data_temp\[31\],39.12
_0356_,38.86
_0299_,38.62
cam_mod_01.camera_init_01.data_send\[0\],38.52
_0134_,38.5
_0242_,38.4
_0517_,37.86
_0364_,37.7
_0376_,37.64
_0624_,37.64
_0697_,37.64
_0863_,37.58
vga_display_01.control.x_poi\[5\],37.54
cam_mod_01.camera_init_01.init.count\[2\],37.52
_0347_,37.44
_0202_,37.12
cam_mod_01.camera_init_01.sender.data_temp\[12\],37.06
_0148_,37.04
_0761_,36.88
_0681_,36.82
_0326_,36.76
_0334_,36.76
_0777_,36.06
_0211_,35.64
cam_mod_01.camera_init_01.sender.data_temp\[15\],35.44
cam_mod_01.camera_init_01.data_send\[14\],35.18
cam_mod_01.camera_init_01.sender.count\[18\],34.94
cam_mod_01.camera_init_01.data_send\[7\],34.92
cam_mod_01.camera_init_01.init.count\[3\],34.64
_0149_,34.61
cam_mod_01.camera_init_01.sender.count\[6\],34.52
_0330_,34.42
_0116_,34.08
_0544_,33.74
_0711_,33.46
net54,33.44
_0215_,33.34
_0373_,33.16
vga_display_01.control.x_poi\[6\],33.12
_0847_,33.08
_0297_,33
cam_mod_01.camera_init_01.sender.count\[8\],33
_0245_,32.92
vga_display_01.control.x_poi\[0\],32.78
_0340_,32.7
cam_mod_01.camera_init_01.sender.data_temp\[7\],32.52
_0337_,31.78
_0339_,31.72
_0355_,31.72
_0700_,31.6
_0850_,31.6
_0692_,31.56
cam_mod_01.camera_init_01.sender.data_temp\[13\],31.56
_0694_,31.24
_0841_,31.06
cam_mod_01.camera_init_01.sender.data_temp\[11\],31.04
_0866_,30.96
_0283_,30.92
_0250_,30.82
_0723_,30.82
net52,30.82
_0237_,30.7
vga_display_01.control.y_poi\[5\],30.4
_0207_,30.08
_0842_,30.06
_0776_,30.02
_0302_,29.98
_0848_,29.9
_0290_,29.74
_0471_,29.62
_0868_,29.52
_0352_,29.48
_0429_,29.28
_0883_,29.24
_0617_,28.94
_0365_,28.92
_0311_,28.9
_0805_,28.85
_0744_,28.8
_0280_,28.56
cam_mod_01.camera_init_01.sender.count\[2\],28.39
cam_mod_01.camera_init_01.data_send\[9\],28.34
_0367_,28.28
_0520_,28.24
_0678_,28.22
_0496_,28.2
_0869_,28.2
_0323_,28.18
_0614_,28.18
_0811_,28.1
_0627_,27.98
_0213_,27.9
_0849_,27.88
cam_mod_01.camera_init_01.sender.data_temp\[18\],27.66
_0265_,27.58
cam_mod_01.camera_init_01.sender.data_temp\[25\],27.465
_0316_,27.28
_0887_,27.26
_0137_,27.2
_0687_,27.1
_0559_,26.98
_0636_,26.9
cam_mod_01.camera_init_01.sender.data_temp\[20\],26.865
_0379_,26.6
_0354_,26.56
_0494_,26.56
vga_display_01.control.x_poi\[8\],26.46
_0185_,26.36
_0763_,26.32
vga_display_01.control.x_poi\[1\],26.24
_0155_,26.16
_0208_,25.92
_0108_,25.9
cam_mod_01.camera_init_01.sender.count\[3\],25.88
_0320_,25.82
_0096_,25.785
cam_mod_01.camera_init_01.data_send\[12\],25.58
_0281_,25.56
_0752_,25.36
_0421_,25.09
_0437_,24.86
_0349_,24.84
_0688_,24.84
cam_mod_01.camera_init_01.sender.data_temp\[9\],24.8
_0394_,24.56
