net,length_um
_0548_,410.18
_0586_,314.91
net1,296.92
_0512_,294.29
_0324_,291.58
_0473_,288.61
_0514_,288.39
_0628_,288.045
_0273_,283.03
_0571_,279.75
_0509_,267.5
_0492_,265.39
_0224_,250.88
_0467_,250.18
_0620_,242.345
_0001_,238.305
_0582_,238.03
_0495_,231.81
_0518_,228.38
_0472_,227.2
_0552_,225.38
_0526_,224.49
_0669_,222.13
_0434_,221.9
_0470_,220.05
_0515_,220.04
_0476_,219.375
_0560_,219.13
_0546_,216.67
_0563_,215.02
_0507_,214.07
_0567_,212.74
_0485_,212.02
_0564_,210.92
_0260_,209.26
_0499_,209.09
net2,204.96
_0479_,202.67
_0611_,199.45
_0439_,198.2
_0576_,196.19
_0489_,194.46
_0240_,193.68
_0531_,193.06
_0542_,188.72
_0524_,187.99
_0629_,187.065
_0481_,186.13
_0272_,185.88
_0653_,181.9
_0639_,181.87
_0589_,174.755
_0558_,172.14
_0487_,171.8
_0469_,171.22
_0675_,170.88
_0504_,168.46
_0604_,167.49
_0630_,166.14
_0577_,162.855
_0565_,162.71
_0580_,156.18
_0680_,155.74
_0497_,154.72
_0541_,153.86
_0638_,153.37
_0641_,152.34
_0780_,150.26
_0573_,149.31
_0134_,149
_0574_,147.325
_0239_,146.69
_0584_,144.98
net13,144.62
_0737_,144.43
_0381_,144.1
_0534_,143.96
_0522_,143.54
_0734_,141.94
_0523_,141.6
_0119_,141.29
_0521_,140.38
_0503_,140.33
net31,137.6
net22,136.81
_0435_,136.655
_0498_,132.67
_0850_,132.1
_0277_,131.76
_0619_,131.545
_0774_,130.695
_0502_,129.1
_0568_,129.08
_0600_,128.9
_0796_,128.77
_0733_,128.72
_0188_,128.52
_0287_,125.085
_0625_,124.47
_0463_,124.32
_0661_,124.1
_0538_,122.8
_0248_,121.76
_0527_,119.27
_0753_,118.73
_0646_,116.29
_0478_,115.78
_0238_,115.76
_0484_,113.705
net25,112.6
_0795_,112.04
_0465_,111.24
_0508_,111
net19,110.96
_0109_,109.92
_0540_,109.24
_0180_,106.99
_0438_,106.88
_0449_,106.58
_0663_,105.86
_0773_,104.64
net18,103.8
_0750_,102.76
net28,102.32
_0443_,102.135
net12,101.73
_0857_,101.375
net29,100.94
net23,100.52
_0813_,99.16
_0483_,98.83
_0327_,98.52
_0862_,98.41
_0480_,97.32
